n=10,	 e=49.50984052
-1.096957655223430095e+01 -4.534845866763215838e+01
4.529653922343650407e+01 -3.703738453574755951e+00
n=150,	 e=47.97622171
4.646760971465231904e+01 1.220526581267478705e-01
3.778838802634280825e+01 2.674643390378962948e+01
3.485213829972467892e+01 2.946840338643075441e+01
-1.963949965804473408e+01 4.239043703580855293e+01
-2.270697014248679935e+01 3.982524188608958582e+01
-1.464608532239751781e+01 -4.378310265038592064e+01
-1.096970149099017533e+01 -4.535426271744529458e+01
4.529161736768126190e+01 -3.703298790457105305e+00
n=160,	 e=47.97511022
4.646301722783631050e+01 1.224446600083695658e-01
3.778935043162190510e+01 2.674857992688254882e+01
3.485373268294681992e+01 2.947111774698894138e+01
-1.963795268962044105e+01 4.239242750097518098e+01
-2.270287618690052867e+01 3.982417275723558703e+01
-1.464486749058452375e+01 -4.378463652163346609e+01
-1.096999271072152737e+01 -4.535934684593374300e+01
4.528708552990944014e+01 -3.702854512567956391e+00
n=170,	 e=47.97414659
4.645867977739205656e+01 1.228932213077627567e-01
3.779055837561356412e+01 2.675079262229113652e+01
3.485553070997726621e+01 2.947387707574873517e+01
-1.963639420884205578e+01 4.239375342986513573e+01
-2.269925389815495365e+01 3.982302288787468569e+01
-1.464405091974975193e+01 -4.378620950615043483e+01
-1.097042303572524702e+01 -4.536384456407080279e+01
4.528284999398467647e+01 -3.702380454906559315e+00
n=180,	 e=47.97328303
4.645457255556761567e+01 1.233939903205084065e-01
3.779197155980730116e+01 2.675305848696498146e+01
3.485748581211760921e+01 2.947665560225307857e+01
-1.963482895453650912e+01 4.239454464900590125e+01
-2.269600920323829385e+01 3.982180157509691298e+01
-1.464356838642729741e+01 -4.378782153673511601e+01
-1.097096909645503615e+01 -4.536786333932997195e+01
4.527884250766968677e+01 -3.701864715608531142e+00
n=190,	 e=47.97248778
4.645066880833430645e+01 1.239414136968264857e-01
3.779355498633362487e+01 2.675536644047328849e+01
3.485956266690609340e+01 2.947943781392621432e+01
-1.963326018805054929e+01 4.239490448073483009e+01
-2.269306801604938428e+01 3.982051820265826336e+01
-1.464336320157649851e+01 -4.378947021479347512e+01
-1.097161100699327108e+01 -4.537149006595487322e+01
4.527501274560992073e+01 -3.701303358768758933e+00
n=200,	 e=47.9717396
4.644694228459305663e+01 1.245295997339468941e-01
3.779527874757624062e+01 2.675770741593618851e+01
3.486173422459361149e+01 2.948221466440448424e+01
-1.963169015867222100e+01 4.239491554088574077e+01
-2.269037171530404251e+01 3.981918171274581653e+01
-1.464338775590129416e+01 -4.379115192261031808e+01
-1.097233197726306742e+01 -4.537479525484182830e+01
4.527132314489828246e+01 -3.700697044277518444e+00
n=210,	 e=47.97102428
4.644336855132257114e+01 1.251528138293878101e-01
3.779711757323658361e+01 2.676007400748611786e+01
3.486397958495425797e+01 2.948498113917606034e+01
-1.963012042143069635e+01 4.239464415722218149e+01
-2.268787371181500490e+01 3.981780032124443380e+01
-1.464360220295412063e+01 -4.379286253169112086e+01
-1.097311791451505769e+01 -4.537783628420217497e+01
4.526774533573972548e+01 -3.700048911078847702e+00
n=220,	 e=47.97033224
4.643992560974742645e+01 1.258057426156253267e-01
3.779905028345572049e+01 2.676246017261471621e+01
3.486628246655778440e+01 2.948773469979788686e+01
-1.962855205433263706e+01 4.239414376706130128e+01
-2.268553682848957820e+01 3.981638138998437171e+01
-1.464397328983552171e+01 -4.379459783953691243e+01
-1.097395704358351054e+01 -4.538065994920169999e+01
4.526425765102774079e+01 -3.699363271338304671e+00
n=230,	 e=47.96965706
4.643659409153348605e+01 1.264836152575549155e-01
3.780105923077433516e+01 2.676486098422609672e+01
3.486863009207086606e+01 2.949047429569664658e+01
-1.962698580695515460e+01 4.239345755146822370e+01
-2.268333128916471608e+01 3.981493139721361274e+01
-1.464447333393587058e+01 -4.379635382598393534e+01
-1.097483956046868059e+01 -4.538330448026012220e+01
4.526084337070339103e+01 -3.698644825617251719e+00
n=240,	 e=47.96899439
4.643335721258450377e+01 1.271822388609669674e-01
3.780312977423589160e+01 2.676727242592415479e+01
3.487101236808437221e+01 2.949319974167257286e+01
-1.962542220222714917e+01 4.239262049285138545e+01
-2.268123316582280680e+01 3.981345596685410726e+01
-1.464507933753979074e+01 -4.379812679151398669e+01
-1.097575732505904966e+01 -4.538580115291888717e+01
4.525748947031369340e+01 -3.697898209720673179e+00
n=250,	 e=47.96834131
4.643020059613971995e+01 1.278979843970506902e-01
3.780524980573067495e+01 2.676969122396921108e+01
3.487342127536751235e+01 2.949591133013602828e+01
-1.962386160619572451e+01 4.239166099304136281e+01
-2.267922317271467492e+01 3.981195993041527004e+01
-1.464577222856967609e+01 -4.379991341996514365e+01
-1.097670359367558035e+01 -4.538817557999901453e+01
4.525418571850439520e+01 -3.697127749981993894e+00
n=260,	 e=47.96769584
4.642711203427877109e+01 1.286277461133508715e-01
3.780740933534934101e+01 2.677211470990203424e+01
3.487585041086371263e+01 2.949860959340609057e+01
-1.962230427594483473e+01 4.239060215340963822e+01
-2.267728572466628023e+01 3.981044740469182841e+01
-1.464653621415238405e+01 -4.380171079419709912e+01
-1.097767278941719837e+01 -4.539044875402484536e+01
4.525092401829356703e+01 -3.696337347282609542e+00
n=270,	 e=47.96705662
4.642408122942268989e+01 1.293688886466509702e-01
3.780960013522976482e+01 2.677454070850155432e+01
3.487829464020644110e+01 2.950129516117994299e+01
-1.962075039255487496e+01 4.238946279303015530e+01
-2.267540819765916993e+01 3.980892187448947084e+01
-1.464735823349280253e+01 -4.380351638378420631e+01
-1.097866030691785966e+01 -4.539263789158080442e+01
4.524769792037576366e+01 -3.695530438459113221e+00
n=280,	 e=47.96642276
4.642109953992976301e+01 1.301191903909407199e-01
3.781181543758454922e+01 2.677696744655188610e+01
3.488074983157689957e+01 2.950396867801115164e+01
-1.961920008384750957e+01 4.238825826230901583e+01
-2.267358034528837507e+01 3.980738627395783169e+01
-1.464822749701618676e+01 -4.380532801722615233e+01
-1.097966234756671611e+01 -4.539475711945551950e+01
4.524450225924775992e+01 -3.694710002513438951e+00
n=290,	 e=47.96579363
4.641815974283287716e+01 1.308767881237549169e-01
3.781404968108132181e+01 2.677939347858848151e+01
3.488321265003209959e+01 2.950663075803388224e+01
-1.961765344010820655e+01 4.238700109581942144e+01
-2.267179383610671906e+01 3.980584306278696261e+01
-1.464913509977571238e+01 -4.380714384669402506e+01
-1.098067578125319699e+01 -4.539681803364142354e+01
4.524133287792617608e+01 -3.693878590980392396e+00
n=300,	 e=47.96516881
4.641525581991606231e+01 1.316401255035490325e-01
3.781629829921006802e+01 2.678181762649204956e+01
3.488568039724727754e+01 2.950928196254492164e+01
-1.961611052501225316e+01 4.238570153798428208e+01
-2.267004188515263152e+01 3.980429429542414255e+01
-1.465007369818217597e+01 -4.380896231040743061e+01
-1.098169803084377349e+01 -4.539883015566377367e+01
4.523818641746375846e+01 -3.693038369832974510e+00
n=310,	 e=47.964548
4.641238276914426564e+01 1.324079067273914445e-01
3.781855754454033303e+01 2.678423893033960468e+01
3.488815088573135625e+01 2.951192279122421169e+01
-1.961457138323822136e+01 4.238436796768234416e+01
-2.266831895935309049e+01 3.980274168257312795e+01
-1.465103724048270095e+01 -4.381078209562161163e+01
-1.098272697602563142e+01 -4.540080130565146987e+01
4.523506015434096383e+01 -3.692191165224280702e+00
n=320,	 e=47.96393101
4.640953644115787569e+01 1.331790557387049767e-01
3.782082434331220355e+01 2.678665660838634466e+01
3.489062233944049041e+01 2.951455368122855205e+01
-1.961303604579419613e+01 4.238300724207626757e+01
-2.266662054117046310e+01 3.980118664497690872e+01
-1.465202074255892484e+01 -4.381260210398635735e+01
-1.098376087342568042e+01 -4.540273790773294138e+01
4.523195187370975390e+01 -3.691338508636452076e+00
n=330,	 e=47.96331768
4.640671339910111470e+01 1.339526808532520707e-01
3.782309617541746860e+01 2.678907002448477925e+01
3.489309331477601717e+01 2.951717501056703341e+01
-1.961150453377228331e+01 4.238162497569462772e+01
-2.266494293835966189e+01 3.979963035987405817e+01
-1.465302010180352710e+01 -4.381442142010875074e+01
-1.098479829045227518e+01 -4.540464524023067838e+01
4.522885976976910882e+01 -3.690481679082295408e+00
n=340,	 e=47.96270792
4.640391079958836684e+01 1.347280444729612170e-01
3.782537097551161054e+01 2.679147866151149771e+01
3.489556263748790599e+01 2.951978710358003255e+01
-1.960997686101882920e+01 4.238022576735972535e+01
-2.266328313039925391e+01 3.979807380077207313e+01
-1.465403194284647981e+01 -4.381623928365655019e+01
-1.098583805054185802e+01 -4.540652764079953840e+01
4.522578236690295483e+01 -3.689621741177939285e+00
n=350,	 e=47.96210165
4.640112629224444873e+01 1.355045373443847234e-01
3.782764705166589891e+01 2.679388209970591817e+01
3.489802935203473311e+01 2.952239023718381716e+01
-1.960845303602375367e+01 4.237881338501360773e+01
-2.266163864426123453e+01 3.979651777122835199e+01
-1.465505348987655765e+01 -4.381805506500042924e+01
-1.098687918795707219e+01 -4.540838867470600348e+01
4.522271845687102854e+01 -3.688759578697148989e+00
n=360,	 e=47.96149881
4.639835793540439823e+01 1.362816568569472087e-01
3.782992301849110817e+01 2.679627999898736590e+01
3.490049268080989719e+01 2.952498464716630977e+01
-1.960693306329758201e+01 4.237739091646432854e+01
-2.266000745365109381e+01 3.979496293338736734e+01
-1.465608246110122792e+01 -4.381986824417800364e+01
-1.098792091046053088e+01 -4.541023127291043693e+01
4.521966704850635921e+01 -3.687895923696473233e+00
n=370,	 e=47.96089935
4.639560412565712255e+01 1.370589888164586156e-01
3.783219774220474818e+01 2.679867208451187111e+01
3.490295199119339742e+01 2.952757053411479049e+01
-1.960541694434382265e+01 4.237596089247433184e+01
-2.265838789716075397e+01 3.979340983197391779e+01
-1.465711698156838594e+01 -4.382167839293415312e+01
-1.098896256855400111e+01 -4.541205784542067647e+01
4.521662732728005807e+01 -3.687031381456004731e+00
n=380,	 e=47.96030326
4.639286353916167371e+01 1.378361922142753992e-01
3.783447029552403507e+01 2.680105813487147515e+01
3.490540676886384830e+01 2.953014806876059950e+01
-1.960390467840183959e+01 4.237452538735482932e+01
-2.265677861167614893e+01 3.979185891437448674e+01
-1.465815551124592986e+01 -4.382348515945749767e+01
-1.099000363013654180e+01 -4.541387037436709306e+01
4.521359862262807638e+01 -3.686166451668830391e+00
n=390,	 e=47.95971048
4.639013508287133192e+01 1.386129865451785070e-01
3.783673992064306191e+01 2.680343797243440207e+01
3.490785659611378122e+01 2.953271739670531204e+01
-1.960239626297158821e+01 4.237308610125339925e+01
-2.265517847810454910e+01 3.979031054740676154e+01
-1.465919678571204798e+01 -4.382528825551282381e+01
-1.099104365962591601e+01 -4.541567049041684356e+01
4.521058038151226555e+01 -3.685301546325747246e+00
n=400,	 e=47.959121
4.638741785410692131e+01 1.393891412551032105e-01
3.783900599883187255e+01 2.680581145544631028e+01
3.491030113423031622e+01 2.953527864250671442e+01
-1.960089169420512434e+01 4.237164442750633242e+01
-2.265358657709815660e+01 3.978876503128073239e+01
-1.466023976728018141e+01 -4.382708744563301906e+01
-1.099208230079294424e+01 -4.541745953554996618e+01
4.520757214695061776e+01 -3.684437004718372322e+00
n=410,	 e=47.95853479
4.638471110709877365e+01 1.401644670000423698e-01
3.784126802551381985e+01 2.680817847156293254e+01
3.491274010911342174e+01 2.953783191316898993e+01
-1.959939096722101937e+01 4.237020150779735417e+01
-2.265200215291483588e+01 3.978722261119403925e+01
-1.466128360475175185e+01 -4.382888253805929679e+01
-1.099311926261957240e+01 -4.541923861460570322e+01
4.520457354053684895e+01 -3.683573105961392535e+00
n=420,	 e=47.95795183
4.638201422532458906e+01 1.409388084144977404e-01
3.784352558978594772e+01 2.681053893255475629e+01
3.491517329956617033e+01 2.954037730110319515e+01
-1.959789407631929947e+01 4.236875827736377431e+01
-2.265042458384958834e+01 3.978568348694952306e+01
-1.466232760026259285e+01 -4.383067337721015377e+01
-1.099415430767830060e+01 -4.542100863762196639e+01
4.520158424820183285e+01 -3.682710079448201057e+00
n=430,	 e=47.95737211
4.637932669867685576e+01 1.417120381134334695e-01
3.784577835763774800e+01 2.681289276996205473e+01
3.491760052770418810e+01 2.954291488661451481e+01
-1.959640101515730493e+01 4.236731550203672469e+01
-2.264885335807219136e+01 3.978414782091756763e+01
-1.466337118201622758e+01 -4.383245983739306695e+01
-1.099518724258000191e+01 -4.542277035462244328e+01
4.519860400859160876e+01 -3.681848113522005583e+00
n=440,	 e=47.95679559
4.637664810462707266e+01 1.424840517671491225e-01
3.784802605815313115e+01 2.681523993153542307e+01
3.492002165113648715e+01 2.954544473998486254e+01
-1.959491177689002228e+01 4.236587380862609820e+01
-2.264728805384675425e+01 3.978261574462425187e+01
-1.466441388184492922e+01 -4.383424181759266247e+01
-1.099621791010643790e+01 -4.542452438417402050e+01
4.519563260356422774e+01 -3.680987362658349582e+00
n=450,	 e=47.95622226
4.637397809270891713e+01 1.432547640135273248e-01
3.785026847221137558e+01 2.681758037832113217e+01
3.492243655655956758e+01 2.954796692320198659e+01
-1.959342635426742874e+01 4.236443370982826906e+01
-2.264572832331677787e+01 3.978108736419019920e+01
-1.466545531674626801e+01 -4.383601923714635262e+01
-1.099724618276243859e+01 -4.542627123686418145e+01
4.519266985041392815e+01 -3.680127953426210574e+00
n=460,	 e=47.95565211
4.637131637172065979e+01 1.440241051064036770e-01
3.785250542320495271e+01 2.681991408226411266e+01
3.492484515450330917e+01 2.955048149140506908e+01
-1.959194473972011252e+01 4.236299562468723678e+01
-2.264417387924642711e+01 3.977956276482014175e+01
-1.466649517370911582e+01 -4.383779203217385856e+01
-1.099827195746246389e+01 -4.542801133457767548e+01
4.518971559551781780e+01 -3.679269989403534780e+00
n=470,	 e=47.95508511
4.636866269920202654e+01 1.447920181330814016e-01
3.785473676940474519e+01 2.682224102424650169e+01
3.492724737504710930e+01 2.955298849407204287e+01
-1.959046692542215595e+01 4.236155989534957911e+01
-2.264262448412720019e+01 3.977804201451017718e+01
-1.466753319722834448e+01 -4.383956015260785222e+01
-1.099929515116822643e+01 -4.542974502632883116e+01
4.518676970911338486e+01 -3.678413555239054666e+00
n=480,	 e=47.95452125
4.636601687277161687e+01 1.455584567537396290e-01
3.785696239772467919e+01 2.682456119246902659e+01
3.492964316429097238e+01 2.955548797601008815e+01
-1.958899290334762355e+01 4.236012680083157278e+01
-2.264107994127944679e+01 3.977652516709564168e+01
-1.466856917905560209e+01 -4.384132355975963691e+01
-1.100031569730364822e+01 -4.543147260126448828e+01
4.518383208103275450e+01 -3.677558720000366321e+00
n=490,	 e=47.95396051
4.636337872299660745e+01 1.463233833096133640e-01
